Product,Lag,Coef,Error_Min,Error_Max
Tomato,1,14.277426162143586,10.262804083898825,10.262804083898823
Tomato,2,16.82110835981438,14.396978305992622,14.396978305992622
Pepper,1,8.233966688175931,13.274728777385452,13.274728777385453
Pepper,2,16.38533985959697,19.36718983892817,19.367189838928173
Eggplant,1,15.057672748845514,11.808840686608063,11.808840686608063
Eggplant,2,21.601032611692535,9.517717922470831,9.517717922470833
Cucumber,1,13.828599957849038,26.018632217203724,26.018632217203724
Cucumber,2,16.825771711365075,23.962252059779804,23.962252059779804
Spinach,1,5.379738813194694,4.624823022575358,4.62482302257536
Spinach,2,6.460137507023759,4.0821242181284765,4.082124218128476
Arugula,1,10.836584571169645,6.313217495397399,6.313217495397399
Arugula,2,7.0116510734351465,4.428701493982,4.428701493982
Radish,1,2.6547698852181583,3.0143333296133235,3.014333329613324
Radish,2,4.058278835493173,3.3446749678165295,3.3446749678165304
Orange,1,-2.3548092551215727,3.067356085424517,3.0673560854245165
Orange,2,2.366860353601625,2.753420367641003,2.7534203676410036
Mandarin,1,-1.000203754937398,17.726216951162108,17.726216951162108
Mandarin,2,12.918291982653676,6.029385053607967,6.029385053607969
Pomegranate,1,2.6684977404793493,8.842255920635399,8.842255920635397
Pomegranate,2,2.3237368039182655,8.852745844191151,8.85274584419115
Apple,1,-4.772247358626547,3.703438700112942,3.7034387001129443
Apple,2,-1.8512388948494736,6.184572514657365,6.184572514657365
Cherry,1,-3.45136896026106e-10,1.297774002792102e-20,1.2977791726709305e-20
Cherry,2,-8.821943538855266e-15,2.905469377237613e-25,2.905469377237613e-25
Sour Cherry,1,-7.791658387463456e-15,7.852996812563789e-16,7.852996812563774e-16
Sour Cherry,2,1.2528746068298854e-14,7.085246733893613e-16,7.085246733893613e-16
Apricot,1,-4.339110528965351e-10,6.294267553996305e-12,6.294267553996305e-12
Apricot,2,5.6621980118265256e-11,8.214061499531375e-13,8.214061499531375e-13
Peach,1,6.095144633033827e-15,1.1491733758786174e-16,1.1491733758786095e-16
Peach,2,-1.6889355389306389e-15,9.17520333891054e-17,9.17520333891052e-17
Plum,1,4.0603280351773657e-16,2.76257191839734e-16,2.7625719183973396e-16
Plum,2,5.264531777541231e-15,2.486308714517369e-16,2.486308714517369e-16
Strawberry,1,-5.364766548537528e-12,4.1955311509636115e-13,4.1955311509636115e-13
Strawberry,2,4.426630272351161e-12,3.4665249341414444e-13,3.4665249341414444e-13
